8.746887153664726355e-01,7.873655601978716279e-01,5.083162577858026943e-01
6.576516050672209790e-01,6.287928437546920213e-01,2.508619593036267581e-01
5.202082460531901598e-01,6.169490163297246532e-01,4.306720801862556902e-01
3.708799347442964800e-01,6.522262331650311440e-01,5.396570739473248723e-01
8.038809704411069568e-01,2.757955201422765956e-01,3.512293074642721669e-01
3.311325550856880628e-01,8.907036961181291623e-02,6.374706961881485556e-01
6.473416336288336792e-01,4.677940007178469362e-01,6.794277361214194899e-01
5.875759491129690648e-01,3.236729586206443798e-01,6.136236547208339109e-01
5.299944262722721122e-01,4.341154340495225750e-01,8.603937488753471419e-01
1.605016360434097233e-01,8.144929908700361265e-01,1.044379273167375111e-01
3.109353452837138043e-03,4.646279437279392521e-01,4.409358985705106315e-01
2.304679541369170082e-01,3.703565038008594934e-01,3.114931426846335727e-01
6.586167123111901223e-01,7.090065437537316217e-01,7.196310504133460739e-01
9.233794855560566450e-01,7.993295316495655500e-01,6.815186258852885537e-01
5.151650814236206077e-01,5.972945134009308710e-01,9.355370599481654947e-01
8.994324720047075505e-01,9.615749386339288440e-01,7.860279645715072538e-01
9.167910538072612248e-01,4.162254427200088314e-01,2.959757955555155640e-01
8.186417856070784538e-01,9.340191938662997240e-01,6.775403459641129444e-01
7.257110170855559650e-01,4.885011133979852982e-01,8.611252504647342043e-01
5.366070752545633038e-01,1.482557304053355729e-02,6.389812183314350635e-01
8.263749246694975792e-01,4.946041011048621927e-01,6.811600305222544893e-01
1.411096976883656762e-01,5.425399096856797776e-01,9.451386593245361123e-01
6.212078412809521888e-01,8.915794729698551802e-01,3.892920380828336357e-01
9.669308854257324670e-01,1.725299810633589281e-01,2.152205475653630184e-01
5.763343114760389740e-01,2.754610243190737107e-01,9.278069176973222643e-01
1.382146984895591402e-01,5.106858276822724418e-01,4.402793992976351545e-01
9.970522014832349234e-01,7.372604110880335293e-01,2.801233338268662720e-01
2.298202447034883855e-01,3.964099736741572011e-01,3.771188307660886530e-01
5.011729233737489686e-01,4.676211432311385696e-01,5.799987792418181964e-01
9.313814278651252332e-01,7.092320866143403402e-01,7.894797578450972741e-01
5.472718861112511046e-01,8.380627465616264926e-01,7.737740040133911368e-01
